dataset,method,seed,best_quality,best_config_id,n_unique,n_duplicates,spent_cpu_seconds,checkpoint_0.25,checkpoint_0.5,checkpoint_1.0
ml100k,random,22,0.073276216141044,als|factors=128;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,38,1,144.39583333333331,0.064118747205767,0.067957659793393,0.073276216141044
ml100k,tpe,22,0.079068094664324,als|factors=32;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,64,173,145.02166629340215,0.07889310261079,0.07889310261079,0.079068094664324
ml100k,successive_halving,22,0.073251714964692,als|factors=128;epochs=30;regularisation=0.001;alpha=1.0|frac=1.0,38,0,150.8095238095238,0.071591332341315,0.071591332341315,0.072035376748097
ml100k,hyperband,22,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,45,0,145.07291666666666,0.079031009902108,0.079031009902108,0.079031009902108
ml100k,sm2,22,0.073312016856717,als|factors=128;epochs=30;regularisation=0.01;alpha=1.0|frac=1.0,43,0,150.24230285622002,0.069293156077438,0.073312016856717,0.073312016856717
ml100k,bocs,22,0.079475733232263,als|factors=32;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,51,0,145.01004464285714,0.069899778672383,0.079475733232263,0.079475733232263
ml100k,fmqa,22,0.076887166977308,markov|order=1;smoothing=0.5;decay=false|frac=1.0,49,0,145.92459452288668,0.073827224517497,0.076887166977308,0.076887166977308
ml100k,grid,23,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,146.93273918167347,0.073827224517497,0.073827224517497,0.073827224517497
ml100k,random,23,0.078775994455641,als|factors=32;epochs=30;regularisation=0.001;alpha=1.0|frac=1.0,51,0,145.08035714285714,0.072130893278926,0.072130893278926,0.078775994455641
ml100k,tpe,23,0.079068094664324,als|factors=32;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,62,240,147.5910810012257,0.074370280394039,0.074809747535055,0.079068094664324
ml100k,successive_halving,23,0.076887166977308,markov|order=1;smoothing=0.1;decay=false|frac=1.0,55,0,144.84244791666666,0.073827224517497,0.076887166977308,0.076887166977308
ml100k,hyperband,23,0.079068094664324,als|factors=32;epochs=15;regularisation=0.01;alpha=1.0|frac=1.0,52,0,157.0546875,0.073251714964692,0.079068094664324,0.079068094664324
ml100k,sm2,23,0.079475733232263,als|factors=32;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,50,0,147.28515625,0.076887166977308,0.079475733232263,0.079475733232263
ml100k,bocs,23,0.078174671117688,als|factors=32;epochs=15;regularisation=0.1;alpha=1.0|frac=1.0,45,0,145.52615702288665,0.076769272305744,0.076769272305744,0.078174671117688
ml100k,fmqa,23,0.079475733232263,als|factors=32;epochs=30;regularisation=0.1;alpha=1.0|frac=1.0,65,0,156.4715983003592,0.079475733232263,0.079475733232263,0.079475733232263
ml100k,grid,24,0.073827224517497,itemknn|topk=10;shrink=0.0|frac=1.0,99,0,147.13586418167347,0.073827224517497,0.073827224517497,0.073827224517497
ml100k,random,24,0.079031009902108,als|factors=64;epochs=5;regularisation=0.1;alpha=1.0|frac=1.0,52,5,146.2326436584249,0.077551795194721,0.077551795194721,0.079031009902108
