family,epochs,data_fraction,seed,param.factors,param.regularisation,param.alpha,train_cpu_seconds,train_wall_seconds,val_ndcg_at_10,val_recall_at_10,param.latent,param.hidden,param.dropout
als,5,0.5,0,16.0,0.1,10.0,0.109375,0.0980466000000888,0.13595664762462156,0.2516703786191537,,,
als,5,0.5,1,16.0,0.1,10.0,0.09375,0.0951597999992373,0.12920472180433254,0.24498886414253898,,,
als,15,0.5,0,16.0,0.1,10.0,0.296875,0.3085566000008839,0.14954740217376386,0.2873051224944321,,,
als,15,0.5,1,16.0,0.1,10.0,0.296875,0.3083200000000943,0.14079871639935213,0.26280623608017817,,,
als,30,0.5,0,16.0,0.1,10.0,0.625,0.6292031000011775,0.14173987624777107,0.267260579064588,,,
als,30,0.5,1,16.0,0.1,10.0,0.625,0.6157103999976243,0.14745992145825979,0.28507795100222716,,,
als,5,1.0,0,16.0,0.1,10.0,0.109375,0.10668159999841009,0.14128956968134757,0.2650334075723831,,,
als,5,1.0,1,16.0,0.1,10.0,0.109375,0.10828350000156206,0.12911505732180253,0.24498886414253898,,,
als,15,1.0,0,16.0,0.1,10.0,0.296875,0.29884060000040336,0.15201265287684296,0.2828507795100223,,,
als,15,1.0,1,16.0,0.1,10.0,0.328125,0.322291899999982,0.1437732191265882,0.2717149220489978,,,
als,30,1.0,0,16.0,0.1,10.0,0.625,0.6261261000036029,0.1528770557430705,0.289532293986637,,,
als,30,1.0,1,16.0,0.1,10.0,0.625,0.6333114999979443,0.15029866244725437,0.27616926503340755,,,
als,5,0.25,0,16.0,0.1,40.0,0.09375,0.09796890000143321,0.08043972781063105,0.1603563474387528,,,
als,5,0.25,1,16.0,0.1,40.0,0.09375,0.0979683000005025,0.0633458078434385,0.12694877505567928,,,
als,15,0.25,0,16.0,0.1,40.0,0.296875,0.29972239999915473,0.10715198144507779,0.20044543429844097,,,
als,15,0.25,1,16.0,0.1,40.0,0.296875,0.30930349999835016,0.10371905286058444,0.1870824053452116,,,
als,30,0.25,0,16.0,0.1,40.0,0.59375,0.5956666999991285,0.10941891452075933,0.20044543429844097,,,
als,30,0.25,1,16.0,0.1,40.0,0.609375,0.597852499999135,0.10239064815593661,0.1870824053452116,,,
als,5,0.5,0,16.0,0.1,40.0,0.09375,0.09797469999830355,0.121277595622783,0.23608017817371937,,,
als,5,0.5,1,16.0,0.1,40.0,0.109375,0.10670029999891995,0.1177879711607826,0.23385300668151449,,,
als,15,0.5,0,16.0,0.1,40.0,0.328125,0.3216413999980432,0.13685279651775045,0.26057906458797325,,,
als,15,0.5,1,16.0,0.1,40.0,0.34375,0.3325039999981527,0.12853680129880268,0.24498886414253898,,,
als,30,0.5,0,16.0,0.1,40.0,0.640625,0.636995000000752,0.1329078421510344,0.2561247216035635,,,
als,30,0.5,1,16.0,0.1,40.0,0.640625,0.6325685000010708,0.13616584370642718,0.26057906458797325,,,
als,5,1.0,0,16.0,0.1,40.0,0.09375,0.10318890000053216,0.12888579829943994,0.24721603563474387,,,
als,5,1.0,1,16.0,0.1,40.0,0.109375,0.10468509999918751,0.12386464996744187,0.22939866369710468,,,
als,15,1.0,0,16.0,0.1,40.0,0.296875,0.3008129000008921,0.14982473512296837,0.2873051224944321,,,
als,15,1.0,1,16.0,0.1,40.0,0.34375,0.32563630000004196,0.14469976098076265,0.27616926503340755,,,
als,30,1.0,0,16.0,0.1,40.0,0.625,0.6327683999988949,0.1456690731013588,0.2806236080178174,,,
als,30,1.0,1,16.0,0.1,40.0,0.6875,0.6750649999994494,0.1433777962622004,0.2806236080178174,,,
als,5,0.25,0,32.0,0.001,1.0,0.140625,0.13599859999885666,0.07195467592682535,0.14253897550111358,,,
als,5,0.25,1,32.0,0.001,1.0,0.15625,0.1470231999992393,0.0729440958008599,0.14699331848552338,,,
als,15,0.25,0,32.0,0.001,1.0,0.421875,0.42490929999985383,0.09325754637667531,0.17817371937639198,,,
als,15,0.25,1,32.0,0.001,1.0,0.4375,0.4316022000020894,0.0943826196720716,0.16703786191536749,,,
als,30,0.25,0,32.0,0.001,1.0,0.984375,0.9731181999995897,0.09186490830929889,0.16926503340757237,,,
als,30,0.25,1,32.0,0.001,1.0,0.984375,0.9785379999993893,0.08806308457459414,0.16258351893095768,,,
als,5,0.5,0,32.0,0.001,1.0,0.171875,0.16534450000108336,0.11416042364637251,0.21158129175946547,,,
als,5,0.5,1,32.0,0.001,1.0,0.15625,0.16629029999967315,0.09871617543655445,0.19376391982182628,,,
als,15,0.5,0,32.0,0.001,1.0,0.421875,0.42215629999918747,0.1069436457611161,0.19599109131403117,,,
als,15,0.5,1,32.0,0.001,1.0,0.421875,0.41150890000062645,0.10406652046782815,0.19821826280623608,,,
als,30,0.5,0,32.0,0.001,1.0,0.8125,0.8204380999995919,0.11490189634232297,0.20489977728285078,,,
als,30,0.5,1,32.0,0.001,1.0,0.96875,0.9710583000014594,0.11588653869595174,0.22048997772828507,,,
als,5,1.0,0,32.0,0.001,1.0,0.15625,0.14514690000214614,0.1322038911575248,0.2383073496659243,,,
als,5,1.0,1,32.0,0.001,1.0,0.15625,0.1545920999997179,0.12397012304415242,0.2182628062360802,,,
als,15,1.0,0,32.0,0.001,1.0,0.453125,0.4538271999990684,0.12888612589347206,0.22494432071269488,,,
als,15,1.0,1,32.0,0.001,1.0,0.515625,0.5248492999999144,0.13373119716990792,0.22939866369710468,,,
als,30,1.0,0,32.0,0.001,1.0,1.078125,1.0832551999992575,0.1298773754809595,0.23162583518930957,,,
als,30,1.0,1,32.0,0.001,1.0,0.859375,0.864262899998721,0.12744825990442132,0.22271714922049,,,
als,5,0.25,0,32.0,0.001,10.0,0.125,0.12492850000126055,0.06999760695764473,0.1492204899777283,,,
als,5,0.25,1,32.0,0.001,10.0,0.125,0.12541500000224914,0.08083947336159938,0.16481069042316257,,,
als,15,0.25,0,32.0,0.001,10.0,0.359375,0.38727149999976973,0.08718725826488341,0.16926503340757237,,,
als,15,0.25,1,32.0,0.001,10.0,0.375,0.38997480000034557,0.08774744689051212,0.17817371937639198,,,
als,30,0.25,0,32.0,0.001,10.0,0.78125,0.7760828999998921,0.09512350096999816,0.18262806236080179,,,
als,30,0.25,1,32.0,0.001,10.0,0.765625,0.7625661000020045,0.09267380257796026,0.18040089086859687,,,
als,5,0.5,0,32.0,0.001,10.0,0.140625,0.13504119999925024,0.10059339069456602,0.20044543429844097,,,
als,5,0.5,1,32.0,0.001,10.0,0.140625,0.13134850000278675,0.10090342120198868,0.18485523385300667,,,
als,15,0.5,0,32.0,0.001,10.0,0.375,0.38182269999742857,0.10679447097809276,0.20489977728285078,,,
als,15,0.5,1,32.0,0.001,10.0,0.375,0.3860927999994601,0.10838924862825212,0.21380846325167038,,,
als,30,0.5,0,32.0,0.001,10.0,0.8125,0.8064479999993637,0.10333270879191833,0.19821826280623608,,,
als,30,0.5,1,32.0,0.001,10.0,0.953125,0.9485328999980993,0.10607258308607974,0.21380846325167038,,,
als,5,1.0,0,32.0,0.001,10.0,0.171875,0.17334810000102152,0.12800823121422594,0.2383073496659243,,,
als,5,1.0,1,32.0,0.001,10.0,0.171875,0.15950320000047213,0.11306788663404813,0.21158129175946547,,,
als,15,1.0,0,32.0,0.001,10.0,0.421875,0.4176498000015272,0.14108002117511695,0.24276169265033407,,,
als,15,1.0,1,32.0,0.001,10.0,0.40625,0.40804360000038287,0.12841816177069984,0.23385300668151449,,,
als,30,1.0,0,32.0,0.001,10.0,0.796875,0.8148927000002004,0.13452439554864723,0.24053452115812918,,,
als,30,1.0,1,32.0,0.001,10.0,0.84375,0.8409603999971296,0.1360124264468263,0.23385300668151449,,,
als,5,0.25,0,32.0,0.001,40.0,0.125,0.12996299999940675,0.06299983155799142,0.1291759465478842,,,
