dataset,family,role,seed,data_fraction,n_train_interactions,n_items,n_users,n_eval_users,train_cpu_seconds,train_wall_seconds,train_cpu_utilisation,train_below_quantum,serve_cpu_seconds,serve_wall_seconds,score_wall_seconds,peak_rss_bytes,model_bytes,val_ndcg_at_10,val_recall_at_10,threads,param.topk,param.shrink,param.order,param.smoothing,param.decay,param.factors,param.epochs,param.regularisation,param.alpha,param.latent,param.hidden,param.dropout
luxury_beauty,multvae,corner,0,0.25,6446,1347,3582,3281,3.109375,3.1488241999977618,0.9874717680339887,False,0.40625,0.39682750000065425,0.12537329999759095,607752192,2470412,0.19593782209229246,0.24657116732703444,1,,,,,,,10.0,,,128.0,200.0,0.0
software,popularity,cheap,0,0.25,2605,717,1777,1674,0.0,0.0001554000009491574,0.0,True,0.109375,0.12693140000192216,0.06709199999750126,607752192,5736,0.023759959708988893,0.05794504181600956,1,,,,,,,,,,,,
software,itemknn,cheap,0,0.25,2605,717,1777,1674,0.03125,0.018761600000289036,1.6656361930495571,True,0.125,0.13549720000082743,0.06675239999822224,607752192,4112712,0.09184932091989245,0.20489844683393071,1,300.0,0.0,,,,,,,,,,
software,markov,cheap,0,0.25,2605,717,1777,1674,0.0,0.0061471999979403336,0.0,True,0.265625,0.2600306999993336,0.0627463999990141,607752192,24452,0.18322494388394137,0.21923536439665472,1,,,2.0,0.1,True,,,,,,,
software,popularity,cheap,0,0.5,4487,717,1777,1674,0.0,0.00020729999960167333,0.0,True,0.125,0.12410549999913201,0.06189570000060485,607752192,5736,0.022287709613913777,0.053763440860215055,1,,,,,,,,,,,,
software,itemknn,cheap,0,0.5,4487,717,1777,1674,0.015625,0.017659299999650102,0.8848029084000832,True,0.125,0.1308095999993384,0.06393309999839403,607752192,4112712,0.19358419499540605,0.25448028673835127,1,300.0,0.0,,,,,,,,,,
software,markov,cheap,0,0.5,4487,717,1777,1674,0.015625,0.010599299999739742,1.474153953599168,True,0.265625,0.2707525000005262,0.061180400000012014,607752192,68624,0.21678650889465803,0.26344086021505375,1,,,2.0,0.1,True,,,,,,,
software,popularity,cheap,0,1.0,8044,717,1777,1674,0.0,0.0002015999998548068,0.0,True,0.125,0.126767399997334,0.06815700000151992,607752192,5736,0.017444854798249067,0.04002389486260454,1,,,,,,,,,,,,
software,itemknn,cheap,0,1.0,8044,717,1777,1674,0.015625,0.02150160000019241,0.7266901067762481,True,0.140625,0.13345330000083777,0.06129969999892637,607752192,4112712,0.22100783592119072,0.28375149342891276,1,300.0,0.0,,,,,,,,,,
software,markov,cheap,0,1.0,8044,717,1777,1674,0.015625,0.017925100000866223,0.8716827241825668,True,0.3125,0.3179010999992897,0.08615629999985686,607752192,174572,0.2336799862052497,0.2939068100358423,1,,,2.0,0.1,True,,,,,,,
software,als,base,0,1.0,8044,717,1777,1674,2.671875,2.6788681999969413,0.9973894945645518,False,0.125,0.13003329999992275,0.06326740000076825,607752192,1276928,0.2131699838972967,0.2831541218637993,1,,,,,,64.0,15.0,0.01,40.0,,,
software,als,factors,0,1.0,8044,717,1777,1674,1.078125,1.0880621999967843,0.9908670662423401,False,0.140625,0.13346619999720133,0.062007799999264535,607752192,319232,0.1963016554105901,0.25806451612903225,1,,,,,,16.0,15.0,0.01,40.0,,,
software,als,factors,0,1.0,8044,717,1777,1674,1.484375,1.4869975000001432,0.9982363790119735,False,0.125,0.1273469000007026,0.07143360000191024,607752192,638464,0.20976184334929215,0.2765830346475508,1,,,,,,32.0,15.0,0.01,40.0,,,
software,als,factors,0,1.0,8044,717,1777,1674,7.375,7.409477400000469,0.9953468513176831,False,0.140625,0.13780530000076396,0.0638345000006666,607752192,2553856,0.20478472783528262,0.25806451612903225,1,,,,,,128.0,15.0,0.01,40.0,,,
software,als,epochs,0,1.0,8044,717,1777,1674,0.859375,0.8565205999984755,1.0033325526572618,False,0.125,0.13119839999853866,0.06110210000042571,607752192,1276928,0.20945783292482023,0.26523297491039427,1,,,,,,64.0,5.0,0.01,40.0,,,
software,als,epochs,0,1.0,8044,717,1777,1674,5.203125,5.213195899999846,0.9980681907618614,False,0.125,0.13758659999803058,0.06460839999999735,607752192,1276928,0.21422510910072898,0.2855436081242533,1,,,,,,64.0,30.0,0.01,40.0,,,
software,als,fraction,0,0.25,2605,717,1777,1674,2.515625,2.523820300000807,0.9967528195249066,False,0.125,0.1283212000016647,0.06286629999885918,607752192,1276928,0.04972391272817786,0.08124253285543608,1,,,,,,64.0,15.0,0.01,40.0,,,
software,als,fraction,0,0.5,4487,717,1777,1674,2.5,2.500377899999876,0.9998488628459419,False,0.140625,0.13243800000054762,0.061228200000186916,607752192,1276928,0.20682532784048122,0.26642771804062126,1,,,,,,64.0,15.0,0.01,40.0,,,
software,als,corner,0,0.25,2605,717,1777,1674,14.375,14.406293399999413,0.9978277965656722,False,0.125,0.13147770000068704,0.06590219999998226,607752192,2553856,0.049060393746244435,0.08303464755077658,1,,,,,,128.0,30.0,0.01,40.0,,,
software,multvae,base,0,1.0,8044,717,1777,1674,4.453125,4.553650699999707,0.977924152153411,False,0.1875,0.18256779999865103,0.061779999999998836,607752192,3910580,0.20919545667758513,0.28136200716845877,1,,,,,,,20.0,,,64.0,600.0,0.5
software,multvae,hidden,0,1.0,8044,717,1777,1674,2.328125,2.386283799998637,0.9756278779587448,False,0.15625,0.15523079999911715,0.06011639999996987,607752192,1305780,0.18680675169347385,0.23835125448028674,1,,,,,,,20.0,,,64.0,200.0,0.5
software,multvae,latent,0,1.0,8044,717,1777,1674,4.25,4.296363199999178,0.989208733563497,False,0.1875,0.17575829999987036,0.06664349999846308,607752192,3679924,0.19730663785657038,0.2574671445639188,1,,,,,,,20.0,,,32.0,600.0,0.5
software,multvae,latent,0,1.0,8044,717,1777,1674,5.765625,5.937681999999768,0.9710228671727832,False,0.203125,0.21388440000009723,0.07922380000309204,607752192,4371892,0.20919350266271453,0.2724014336917563,1,,,,,,,20.0,,,128.0,600.0,0.5
software,multvae,epochs,0,1.0,8044,717,1777,1674,2.84375,2.848649399998976,0.9982800972281889,False,0.1875,0.2090883999990183,0.06728579999980866,607752192,3910580,0.1919385714583078,0.24731182795698925,1,,,,,,,10.0,,,64.0,600.0,0.5
software,multvae,fraction,0,0.25,2605,717,1777,1674,5.84375,5.918415700001788,0.9873841744503068,False,0.234375,0.25889789999928325,0.09284829999887734,607752192,3910580,0.09979010965752722,0.2066905615292712,1,,,,,,,20.0,,,64.0,600.0,0.5
software,multvae,fraction,0,0.5,4487,717,1777,1674,5.53125,5.70214009999836,0.9700305329224708,False,0.21875,0.215621999999712,0.07512719999795081,607752192,3910580,0.18718057040482025,0.25029868578255676,1,,,,,,,20.0,,,64.0,600.0,0.5
software,multvae,corner,0,0.25,2605,717,1777,1674,1.5625,1.5620014000014635,1.0003192058589294,False,0.171875,0.17552580000119633,0.09467099999892525,607752192,1459892,0.02919892109520812,0.06272401433691756,1,,,,,,,10.0,,,128.0,200.0,0.0
gift_cards,popularity,cheap,0,0.25,636,146,456,449,0.0,0.00017350000052829273,0.0,True,0.03125,0.030066399998759152,0.018227399999886984,607752192,1168,0.0996844010086187,0.23162583518930957,1,,,,,,,,,,,,
gift_cards,itemknn,cheap,0,0.25,636,146,456,449,0.0,0.0005983000010019168,0.0,True,0.03125,0.030496300001686905,0.02036219999718014,607752192,170528,0.08070889356192264,0.1759465478841871,1,300.0,0.0,,,,,,,,,,
gift_cards,markov,cheap,0,0.25,636,146,456,449,0.015625,0.0019756000001507346,7.908989673419641,True,0.0625,0.07222959999853629,0.01929970000128378,607752192,4952,0.13020322839291748,0.24053452115812918,1,,,2.0,0.1,True,,,,,,,
gift_cards,popularity,cheap,0,0.5,1164,146,456,449,0.015625,0.00020500000027823262,76.21951209167437,True,0.015625,0.030900000001565786,0.021004000001994427,607752192,1168,0.09102512351202516,0.2026726057906459,1,,,,,,,,,,,,
gift_cards,itemknn,cheap,0,0.5,1164,146,456,449,0.0,0.0005358000016713049,0.0,True,0.03125,0.0333939999982249,0.019534000002749963,607752192,170528,0.14521218921150664,0.289532293986637,1,300.0,0.0,,,,,,,,,,
gift_cards,markov,cheap,0,0.5,1164,146,456,449,0.0,0.003295900001830887,0.0,True,0.09375,0.07813510000050883,0.019132099998387275,607752192,14720,0.17836882699716353,0.3051224944320713,1,,,2.0,0.1,True,,,,,,,
gift_cards,popularity,cheap,0,1.0,2041,146,456,449,0.0,0.00019330000213813037,0.0,True,0.03125,0.0293749000011303,0.01851170000009006,607752192,1168,0.08369290327416583,0.17371937639198218,1,,,,,,,,,,,,
gift_cards,itemknn,cheap,0,1.0,2041,146,456,449,0.0,0.0006424999992304947,0.0,True,0.03125,0.030331599999044556,0.02010379999774159,607752192,170528,0.1897937285143607,0.37861915367483295,1,300.0,0.0,,,,,,,,,,
